study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp
PRJNA236110	SAMN02594763	SRS541040	SRX445911	SRR1138768	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138768/SRR1138768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138768/SRR1138768_2.fastq.gz
PRJNA236110	SAMN02594763	SRS541040	SRX445911	SRR1138769	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138769/SRR1138769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138769/SRR1138769_2.fastq.gz
PRJNA236110	SAMN02594793	SRS541039	SRX445912	SRR1138770	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138770/SRR1138770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138770/SRR1138770_2.fastq.gz
PRJNA236110	SAMN02594793	SRS541039	SRX445912	SRR1138771	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138771/SRR1138771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138771/SRR1138771_2.fastq.gz
PRJNA236110	SAMN02594788	SRS541041	SRX445913	SRR1138772	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138772/SRR1138772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138772/SRR1138772_2.fastq.gz
PRJNA236110	SAMN02594788	SRS541041	SRX445913	SRR1138773	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138773/SRR1138773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138773/SRR1138773_2.fastq.gz
PRJNA236110	SAMN02594770	SRS541002	SRX445874	SRR1138774	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138774/SRR1138774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138774/SRR1138774_2.fastq.gz
PRJNA236110	SAMN02594770	SRS541002	SRX445874	SRR1138775	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138775/SRR1138775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138775/SRR1138775_2.fastq.gz
PRJNA236110	SAMN02594772	SRS541042	SRX445914	SRR1138776	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138776/SRR1138776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138776/SRR1138776_2.fastq.gz
PRJNA236110	SAMN02594772	SRS541042	SRX445914	SRR1138777	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138777/SRR1138777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138777/SRR1138777_2.fastq.gz
PRJNA236110	SAMN02594797	SRS541043	SRX445915	SRR1138778	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138778/SRR1138778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138778/SRR1138778_2.fastq.gz
PRJNA236110	SAMN02594790	SRS541044	SRX445916	SRR1138779	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138779/SRR1138779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138779/SRR1138779_2.fastq.gz
PRJNA236110	SAMN02594799	SRS541045	SRX445917	SRR1138780	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138780/SRR1138780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138780/SRR1138780_2.fastq.gz
PRJNA236110	SAMN02594807	SRS541046	SRX445918	SRR1138781	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138781/SRR1138781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138781/SRR1138781_2.fastq.gz
PRJNA236110	SAMN02594807	SRS541046	SRX445918	SRR1138782	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138782/SRR1138782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138782/SRR1138782_2.fastq.gz
PRJNA236110	SAMN02594808	SRS541047	SRX445919	SRR1138783	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138783/SRR1138783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138783/SRR1138783_2.fastq.gz
